case	collective	size	config	channels	visible_devices	exit_status	log	csv
rep_r2_reducescatter_1M_ring_ll_chdefault	reducescatter	1M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_1M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_1M_ring_ll_chdefault.csv
rep_r3_reducescatter_1M_ring_ll_chdefault	reducescatter	1M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_1M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_1M_ring_ll_chdefault.csv
rep_r1_reducescatter_1M_tree_simple_chdefault	reducescatter	1M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_1M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_1M_tree_simple_chdefault.csv
rep_r2_reducescatter_1M_tree_simple_chdefault	reducescatter	1M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_1M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_1M_tree_simple_chdefault.csv
rep_r3_reducescatter_1M_tree_simple_chdefault	reducescatter	1M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_1M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_1M_tree_simple_chdefault.csv
rep_r1_reducescatter_1M_tree_ll_chdefault	reducescatter	1M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_1M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_1M_tree_ll_chdefault.csv
rep_r2_reducescatter_1M_tree_ll_chdefault	reducescatter	1M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_1M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_1M_tree_ll_chdefault.csv
rep_r3_reducescatter_1M_tree_ll_chdefault	reducescatter	1M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_1M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_1M_tree_ll_chdefault.csv
rep_r1_reducescatter_8M_default_chdefault	reducescatter	8M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_8M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_8M_default_chdefault.csv
rep_r2_reducescatter_8M_default_chdefault	reducescatter	8M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_8M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_8M_default_chdefault.csv
rep_r3_reducescatter_8M_default_chdefault	reducescatter	8M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_8M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_8M_default_chdefault.csv
rep_r1_reducescatter_8M_ring_simple_chdefault	reducescatter	8M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_8M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_8M_ring_simple_chdefault.csv
rep_r2_reducescatter_8M_ring_simple_chdefault	reducescatter	8M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_8M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_8M_ring_simple_chdefault.csv
rep_r3_reducescatter_8M_ring_simple_chdefault	reducescatter	8M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_8M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_8M_ring_simple_chdefault.csv
rep_r1_reducescatter_8M_ring_ll_chdefault	reducescatter	8M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_8M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_8M_ring_ll_chdefault.csv
rep_r2_reducescatter_8M_ring_ll_chdefault	reducescatter	8M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_8M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_8M_ring_ll_chdefault.csv
rep_r3_reducescatter_8M_ring_ll_chdefault	reducescatter	8M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_8M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_8M_ring_ll_chdefault.csv
rep_r1_reducescatter_8M_tree_simple_chdefault	reducescatter	8M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_8M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_8M_tree_simple_chdefault.csv
rep_r2_reducescatter_8M_tree_simple_chdefault	reducescatter	8M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_8M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_8M_tree_simple_chdefault.csv
rep_r3_reducescatter_8M_tree_simple_chdefault	reducescatter	8M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_8M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_8M_tree_simple_chdefault.csv
rep_r1_reducescatter_8M_tree_ll_chdefault	reducescatter	8M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_8M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_8M_tree_ll_chdefault.csv
rep_r2_reducescatter_8M_tree_ll_chdefault	reducescatter	8M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_8M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_8M_tree_ll_chdefault.csv
rep_r3_reducescatter_8M_tree_ll_chdefault	reducescatter	8M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_8M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_8M_tree_ll_chdefault.csv
rep_r1_reducescatter_64M_default_chdefault	reducescatter	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64M_default_chdefault.csv
rep_r2_reducescatter_64M_default_chdefault	reducescatter	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64M_default_chdefault.csv
rep_r3_reducescatter_64M_default_chdefault	reducescatter	64M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64M_default_chdefault.csv
rep_r1_reducescatter_64M_ring_simple_chdefault	reducescatter	64M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64M_ring_simple_chdefault.csv
rep_r2_reducescatter_64M_ring_simple_chdefault	reducescatter	64M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64M_ring_simple_chdefault.csv
rep_r3_reducescatter_64M_ring_simple_chdefault	reducescatter	64M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64M_ring_simple_chdefault.csv
rep_r1_reducescatter_64M_ring_ll_chdefault	reducescatter	64M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64M_ring_ll_chdefault.csv
rep_r2_reducescatter_64M_ring_ll_chdefault	reducescatter	64M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64M_ring_ll_chdefault.csv
rep_r3_reducescatter_64M_ring_ll_chdefault	reducescatter	64M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64M_ring_ll_chdefault.csv
rep_r1_reducescatter_64M_tree_simple_chdefault	reducescatter	64M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64M_tree_simple_chdefault.csv
rep_r2_reducescatter_64M_tree_simple_chdefault	reducescatter	64M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64M_tree_simple_chdefault.csv
rep_r3_reducescatter_64M_tree_simple_chdefault	reducescatter	64M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64M_tree_simple_chdefault.csv
rep_r1_reducescatter_64M_tree_ll_chdefault	reducescatter	64M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_64M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_64M_tree_ll_chdefault.csv
rep_r2_reducescatter_64M_tree_ll_chdefault	reducescatter	64M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_64M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_64M_tree_ll_chdefault.csv
rep_r3_reducescatter_64M_tree_ll_chdefault	reducescatter	64M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_64M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_64M_tree_ll_chdefault.csv
rep_r1_reducescatter_256M_default_chdefault	reducescatter	256M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_256M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_256M_default_chdefault.csv
rep_r2_reducescatter_256M_default_chdefault	reducescatter	256M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_256M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_256M_default_chdefault.csv
rep_r3_reducescatter_256M_default_chdefault	reducescatter	256M	default	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_256M_default_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_256M_default_chdefault.csv
rep_r1_reducescatter_256M_ring_simple_chdefault	reducescatter	256M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_256M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_256M_ring_simple_chdefault.csv
rep_r2_reducescatter_256M_ring_simple_chdefault	reducescatter	256M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_256M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_256M_ring_simple_chdefault.csv
rep_r3_reducescatter_256M_ring_simple_chdefault	reducescatter	256M	ring_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_256M_ring_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_256M_ring_simple_chdefault.csv
rep_r1_reducescatter_256M_ring_ll_chdefault	reducescatter	256M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_256M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_256M_ring_ll_chdefault.csv
rep_r2_reducescatter_256M_ring_ll_chdefault	reducescatter	256M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_256M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_256M_ring_ll_chdefault.csv
rep_r3_reducescatter_256M_ring_ll_chdefault	reducescatter	256M	ring_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_256M_ring_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_256M_ring_ll_chdefault.csv
rep_r1_reducescatter_256M_tree_simple_chdefault	reducescatter	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_256M_tree_simple_chdefault.csv
rep_r2_reducescatter_256M_tree_simple_chdefault	reducescatter	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_256M_tree_simple_chdefault.csv
rep_r3_reducescatter_256M_tree_simple_chdefault	reducescatter	256M	tree_simple	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_256M_tree_simple_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_256M_tree_simple_chdefault.csv
rep_r1_reducescatter_256M_tree_ll_chdefault	reducescatter	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r1_reducescatter_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r1_reducescatter_256M_tree_ll_chdefault.csv
rep_r2_reducescatter_256M_tree_ll_chdefault	reducescatter	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r2_reducescatter_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r2_reducescatter_256M_tree_ll_chdefault.csv
rep_r3_reducescatter_256M_tree_ll_chdefault	reducescatter	256M	tree_ll	default	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/logs/rep_r3_reducescatter_256M_tree_ll_chdefault.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T101556Z/csv/rep_r3_reducescatter_256M_tree_ll_chdefault.csv
